                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                    3650                                     1417                  2.0000000000000000E+000                  1.0000000000000000E-003                  1.5356634719349837E+009                  2.8532114827379864E+003                  3.6371647938893402E+003                  1.2969124421560152E+003                  9.0821403199040645E+001                  2.7973665471053600E+001                  0.0000000000000000E+000                  1.1410879919394782E-045                  1.0206039015882351E-015                  2.1889398194886275E-001                  1.0239960714362615E-010                  7.7980187548063462E-001                  1.0241497274970003E-004                  1.7511756226268327E+000                 -7.0203100161718687E-009                  8.9081637531040769E-001                  3.8322281534525373E-004                  3.3870283119825195E-001                  1.7082726567596260E-001                  1.7358751837690233E-004                  3.4918474324027865E-001                  1.7161003646558678E-004                  5.3933404381199634E-001                  4.9815934093542563E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7510652876643413E+000                  8.9941118912026795E+001                  1.7510357826004190E+000                  8.9736305172110121E+001                  6.5486387148324857E+006                  6.1113911461066164E+002                  1.3502651109705143E+007                  1.1444302174826453E+003                  2.2874894924200370E+002                  6.2996303063148014E+002                  2.3617852712205689E+001                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                   energy                                       mu                                       cv                                       cp                                  eps_nuc                                       pp                                      cno                                 tri_alfa                                       h1                                      he3                                      he4                                      c12                                      n14                                      o16                               luminosity                                      tau 
                                       1                  1.7511756226268327E+000                  1.9581882075065100E+000                  3.5607629795575120E+000                 -8.3494956908663305E+000                  3.0295143855307214E+000                  7.3517631170464381E-001                  2.6381277283072252E-001                  1.0109154646336105E-003                  1.9162023608642012E+012                  1.2693197430042049E+000                  1.1865982745059282E+008                  1.8770828102210307E+008                  7.2343909594888312E-028                  7.2343909594888312E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3517631170464381E-001                  3.1680339003954547E-004                  2.6349596944068299E-001                  1.0001851125776914E-004                  1.4214438164389175E-004                  4.5820968602511324E-004                  1.2969124421560152E+003                  6.6666666666666663E-001 
                                       2                  1.7511756226253006E+000                  1.9581882074132402E+000                  3.5607629838740356E+000                 -8.3494956606936679E+000                  3.0295144200557833E+000                  7.3517631170464381E-001                  2.6381277283072252E-001                  1.0109154646336105E-003                  1.9162023647631040E+012                  1.2693197428813663E+000                  1.1865982566155085E+008                  1.8770827899109337E+008                  7.2343914621473801E-028                  7.2343914621473801E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3517631170464381E-001                  3.1680339003954547E-004                  2.6349596944068299E-001                  1.0001851125776914E-004                  1.4214438164389175E-004                  4.5820968602511324E-004                  1.2969124421560159E+003                  6.6666668867377399E-001 
                                       3                  1.7511756226194510E+000                  1.9581882070571981E+000                  3.5607629940736771E+000                 -8.3494955893978009E+000                  3.0295145016360658E+000                  7.3517631170464381E-001                  2.6381277283072252E-001                  1.0109154646336105E-003                  1.9162023739759077E+012                  1.2693197425911069E+000                  1.1865982143417090E+008                  1.8770827419196087E+008                  7.2343926498940748E-028                  7.2343926498940739E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3517631170464381E-001                  3.1680339003954547E-004                  2.6349596944068299E-001                  1.0001851125776914E-004                  1.4214438164389175E-004                  4.5820968602511324E-004                  1.2969124421560182E+003                  6.6666677268440533E-001 
                                       4                  1.7511756226078581E+000                  1.9581882063515528E+000                  3.5607630076319601E+000                 -8.3494954946249624E+000                  3.0295146100798758E+000                  7.3517631170464381E-001                  2.6381277283072252E-001                  1.0109154646336105E-003                  1.9162023862223872E+012                  1.2693197422052682E+000                  1.1865981581475569E+008                  1.8770826781252038E+008                  7.2343942287534684E-028                  7.2343942287534684E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3517631170464381E-001                  3.1680339003954547E-004                  2.6349596944068299E-001                  1.0001851125776914E-004                  1.4214438164389175E-004                  4.5820968602511324E-004                  1.2969124421560227E+003                  6.6666693918627029E-001 
                                       5                  1.7511756225962651E+000                  1.9581882056459057E+000                  3.5607630278314621E+000                 -8.3494953534298695E+000                  3.0295147716423556E+000                  7.3517631170464381E-001                  2.6381277283072252E-001                  1.0109154646336105E-003                  1.9162024044675425E+012                  1.2693197416304351E+000                  1.1865980744279636E+008                  1.8770825830825460E+008                  7.2343965809807376E-028                  7.2343965809807367E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3517631170464381E-001                  3.1680339003954547E-004                  2.6349596944068299E-001                  1.0001851125776914E-004                  1.4214438164389175E-004                  4.5820968602511324E-004                  1.2969124421560273E+003                  6.6666710568820020E-001 
                                       6                  1.7511756225733153E+000                  1.9581882042489687E+000                  3.5607630546721949E+000                 -8.3494951658125949E+000                  3.0295149863234458E+000                  7.3517631170464381E-001                  2.6381277283072252E-001                  1.0109154646336105E-003                  1.9162024287113804E+012                  1.2693197408666070E+000                  1.1865979631828563E+008                  1.8770824567915523E+008                  7.2343997065754789E-028                  7.2343997065754789E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3517631170464381E-001                  3.1680339003954547E-004                  2.6349596944068299E-001                  1.0001851125776914E-004                  1.4214438164389175E-004                  4.5820968602511324E-004                  1.2969124421560366E+003                  6.6666743530464156E-001 
                                       7                  1.7511756225503652E+000                  1.9581882028520345E+000                  3.5607630949333156E+000                 -8.3494948843868997E+000                  3.0295153083448869E+000                  7.3517631170464381E-001                  2.6381277283072252E-001                  1.0109154646336105E-003                  1.9162024650771582E+012                  1.2693197397208649E+000                  1.1865977963150826E+008                  1.8770822673549342E+008                  7.2344043949665174E-028                  7.2344043949665174E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3517631170464381E-001                  3.1680339003954547E-004                  2.6349596944068299E-001                  1.0001851125776914E-004                  1.4214438164389175E-004                  4.5820968602511324E-004                  1.2969124421560459E+003                  6.6666776492133750E-001 
                                       8                  1.7511756225044650E+000                  1.9581882000581650E+000                  3.5607631686402175E+000                 -8.3494943691760302E+000                  3.0295158978752670E+000                  7.3517631170464381E-001                  2.6381277283072252E-001                  1.0109154646336105E-003                  1.9162025316527747E+012                  1.2693197376233307E+000                  1.1865974908265424E+008                  1.8770819205491120E+008                  7.2344129780926468E-028                  7.2344129780926468E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3517631170464381E-001                  3.1680339003954547E-004                  2.6349596944068299E-001                  1.0001851125776914E-004                  1.4214438164389175E-004                  4.5820968602511324E-004                  1.2969124421560643E+003                  6.6666842415549299E-001 
                                       9                  1.7511756224243200E+000                  1.9581881951798561E+000                  3.5607632623726473E+000                 -8.3494937139893590E+000                  3.0295166475734159E+000                  7.3517631170464381E-001                  2.6381277283072252E-001                  1.0109154646336105E-003                  1.9162026163164490E+012                  1.2693197349559140E+000                  1.1865971023390944E+008                  1.8770814795187971E+008                  7.2344238931523622E-028                  7.2344238931523622E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3517631170464381E-001                  3.1680339003954547E-004                  2.6349596944068299E-001                  1.0001851125776914E-004                  1.4214438164389175E-004                  4.5820968602511324E-004                  1.2969124421560964E+003                  6.6666957523315606E-001 
                                      10                  1.7511756223441748E+000                  1.9581881903015519E+000                  3.5607634029715438E+000                 -8.3494927312119884E+000                  3.0295177721182607E+000                  7.3517631170464381E-001                  2.6381277283072252E-001                  1.0109154646336105E-003                  1.9162027433122773E+012                  1.2693197309547861E+000                  1.1865965196066202E+008                  1.8770808179718572E+008                  7.2344402657289013E-028                  7.2344402657289004E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3517631170464381E-001                  3.1680339003954547E-004                  2.6349596944068299E-001                  1.0001851125776914E-004                  1.4214438164389175E-004                  4.5820968602511324E-004                  1.2969124421561287E+003                  6.6667072631392343E-001 
                                      11                  1.7511756221838848E+000                  1.9581881805449664E+000                  3.5607636573598453E+000                 -8.3494909530686314E+000                  3.0295198067642586E+000                  7.3517631170464381E-001                  2.6381277283072252E-001                  1.0109154646336105E-003                  1.9162029730884546E+012                  1.2693197237154750E+000                  1.1865954652561328E+008                  1.8770796210206842E+008                  7.2344698887968140E-028                  7.2344698887968131E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3517631170464381E-001                  3.1680339003954547E-004                  2.6349596944068299E-001                  1.0001851125776914E-004                  1.4214438164389175E-004                  4.5820968602511324E-004                  1.2969124421561926E+003                  6.6667302848477117E-001 
                                      12                  1.7511756219091521E+000                  1.9581881638225498E+000                  3.5607639786726302E+000                 -8.3494887071610595E+000                  3.0295223766552182E+000                  7.3517631170464381E-001                  2.6381277283072252E-001                  1.0109154646336105E-003                  1.9162032633145571E+012                  1.2693197145716455E+000                  1.1865941335234433E+008                  1.8770781091714889E+008                  7.2345073047793245E-028                  7.2345073047793236E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3517631170464381E-001                  3.1680339003954547E-004                  2.6349596944068299E-001                  1.0001851125776914E-004                  1.4214438164389175E-004                  4.5820968602511324E-004                  1.2969124421563024E+003                  6.6667697436305917E-001 
