                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                    1450                                     1437                  2.0000000000000000E+000                  1.0000000000000000E-003                  1.4197442906990383E+009                  1.4832443648936213E-002                  3.5922680572268041E+003                  1.5783418452065532E+003                  1.0271216860988079E+002                  2.0432987598402299E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9896000945470731E-001                  7.3158120704445659E-005                  6.2901391396451268E-004                  2.7197305262002142E-005                  9.7117922296462346E-005                  1.8956564870355321E+000                 -2.3947052799536749E-008                  1.0486393243476706E+000                  4.6003871025637180E-004                  8.4403647670669035E-001                  7.7194824326760566E-004                  4.9579659330003113E-004                  6.6402189971368386E-004                  1.8410221900311863E-004                  4.6914714288461290E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8955006632291191E+000                  1.0169695602346509E+002                  1.8954589845609051E+000                  1.0145892522096442E+002                  7.5698382369323159E+006                  5.2032638899966139E+002                  1.2010430394357648E+007                  6.4712759443141026E+006                  1.1790297370438432E+003                  6.4684998253006209E+006                  2.3818080168228644E+002                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                   energy                                       mu                                       cv                                       cp                                  eps_nuc                                       pp                                      cno                                 tri_alfa                                       h1                                      he3                                      he4                                      c12                                      n14                                      o16                               luminosity                                      tau 
                                       1                  1.8956564870355321E+000                  2.0116218987780066E+000                  3.5553687371933993E+000                 -8.3629967241663206E+000                  3.0105385531143591E+000                  7.3521887755886173E-001                  2.6377041167345883E-001                  1.0107107676794458E-003                  1.9111081301661155E+012                  1.2695488689546588E+000                  1.2225150713639978E+008                  1.9178394311395180E+008                  7.0137445341003911E-028                  7.0137445341003902E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3521887755886173E-001                  3.2278069163218398E-004                  2.6344763098182666E-001                  1.0141413099207842E-004                  1.4032081427493539E-004                  4.5843293670487566E-004                  1.5783418452065532E+003                  6.6666666666666663E-001 
                                       2                  1.8956564870338735E+000                  2.0116218987060028E+000                  3.5553687403290302E+000                 -8.3629967022556855E+000                  3.0105385781942688E+000                  7.3521887755886173E-001                  2.6377041167345883E-001                  1.0107107676794458E-003                  1.9111081330178579E+012                  1.2695488688398662E+000                  1.2225150556987804E+008                  1.9178394133739355E+008                  7.0137448879850156E-028                  7.0137448879850156E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3521887755886173E-001                  3.2278069163218398E-004                  2.6344763098182666E-001                  1.0141413099207842E-004                  1.4032081427493539E-004                  4.5843293670487566E-004                  1.5783418452065548E+003                  6.6666668313552024E-001 
                                       3                  1.8956564870277754E+000                  2.0116218984412897E+000                  3.5553687534113845E+000                 -8.3629966108410496E+000                  3.0105386828316205E+000                  7.3521887755886173E-001                  2.6377041167345883E-001                  1.0107107676794458E-003                  1.9111081449157910E+012                  1.2695488683609335E+000                  1.2225149903409731E+008                  1.9178393392530659E+008                  7.0137463644479278E-028                  7.0137463644479269E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3521887755886173E-001                  3.2278069163218398E-004                  2.6344763098182666E-001                  1.0141413099207842E-004                  1.4032081427493539E-004                  4.5843293670487566E-004                  1.5783418452065603E+003                  6.6666674368061951E-001 
                                       4                  1.8956564870015111E+000                  2.0116218973011586E+000                  3.5553687746459013E+000                 -8.3629964624622524E+000                  3.0105388526727652E+000                  7.3521887755886173E-001                  2.6377041167345883E-001                  1.0107107676794458E-003                  1.9111081642278333E+012                  1.2695488675835580E+000                  1.2225148842559659E+008                  1.9178392189443621E+008                  7.0137487609553173E-028                  7.0137487609553164E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3521887755886173E-001                  3.2278069163218398E-004                  2.6344763098182666E-001                  1.0141413099207842E-004                  1.4032081427493539E-004                  4.5843293670487566E-004                  1.5783418452065766E+003                  6.6666700445010973E-001 
                                       5                  1.8956564869752475E+000                  2.0116218961610288E+000                  3.5553688012072757E+000                 -8.3629962768615655E+000                  3.0105390651198065E+000                  7.3521887755886173E-001                  2.6377041167345883E-001                  1.0107107676794458E-003                  1.9111081883844600E+012                  1.2695488666111714E+000                  1.2225147515586269E+008                  1.9178390684551880E+008                  7.0137517586449866E-028                  7.0137517586449858E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3521887755886173E-001                  3.2278069163218398E-004                  2.6344763098182666E-001                  1.0141413099207842E-004                  1.4032081427493539E-004                  4.5843293670487566E-004                  1.5783418452066007E+003                  6.6666726521976205E-001 
                                       6                  1.8956564869358061E+000                  2.0116218944488784E+000                  3.5553688330955180E+000                 -8.3629960540390620E+000                  3.0105393201726893E+000                  7.3521887755886173E-001                  2.6377041167345883E-001                  1.0107107676794458E-003                  1.9111082173856914E+012                  1.2695488654437734E+000                  1.2225145922488898E+008                  1.9178388877854678E+008                  7.0137553575165322E-028                  7.0137553575165322E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3521887755886173E-001                  3.2278069163218398E-004                  2.6344763098182666E-001                  1.0141413099207842E-004                  1.4032081427493539E-004                  4.5843293670487566E-004                  1.5783418452066371E+003                  6.6666765682195805E-001 
                                       7                  1.8956564868963655E+000                  2.0116218927367298E+000                  3.5553688781074944E+000                 -8.3629957395135488E+000                  3.0105396801931210E+000                  7.3521887755886173E-001                  2.6377041167345883E-001                  1.0107107676794458E-003                  1.9111082583225193E+012                  1.2695488637959289E+000                  1.2225143673745643E+008                  1.9178386327603635E+008                  7.0137604375133902E-028                  7.0137604375133893E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3521887755886173E-001                  3.2278069163218398E-004                  2.6344763098182666E-001                  1.0141413099207842E-004                  1.4032081427493539E-004                  4.5843293670487566E-004                  1.5783418452066730E+003                  6.6666804842451977E-001 
                                       8                  1.8956564868244599E+000                  2.0116218896153018E+000                  3.5553689362432541E+000                 -8.3629953332853315E+000                  3.0105401451808507E+000                  7.3521887755886173E-001                  2.6377041167345883E-001                  1.0107107676794458E-003                  1.9111083111949580E+012                  1.2695488616676354E+000                  1.2225140769353043E+008                  1.9178383033794779E+008                  7.0137669986338720E-028                  7.0137669986338711E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3521887755886173E-001                  3.2278069163218398E-004                  2.6344763098182666E-001                  1.0141413099207842E-004                  1.4032081427493539E-004                  4.5843293670487566E-004                  1.5783418452067397E+003                  6.6666876235851102E-001 
                                       9                  1.8956564867525547E+000                  2.0116218864938773E+000                  3.5553690167148080E+000                 -8.3629947709855248E+000                  3.0105407888156104E+000                  7.3521887755886173E-001                  2.6377041167345883E-001                  1.0107107676794458E-003                  1.9111083843810542E+012                  1.2695488587216521E+000                  1.2225136749090400E+008                  1.9178378474501660E+008                  7.0137760805261073E-028                  7.0137760805261064E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3521887755886173E-001                  3.2278069163218398E-004                  2.6344763098182666E-001                  1.0141413099207842E-004                  1.4032081427493539E-004                  4.5843293670487566E-004                  1.5783418452068061E+003                  6.6666947629371776E-001 
