                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                    4250                                     1349                  2.0000000000000000E+000                  1.0000000000000000E-003                  1.5361138421260815E+009                  2.1389301285897906E+000                  3.2327808215475411E+003                  3.0553514424945388E+003                  1.7645619113544777E+002                  3.1410886406075608E+001                  0.0000000000000000E+000                  1.8302475046059260E-044                  1.0192265090554482E-015                  2.1889398194827375E-001                  1.0239960434750693E-010                  7.7980187548122093E-001                  1.0241497275219229E-004                  1.3450950845561473E+000                 -8.0185526669555925E-007                  5.7907071491503959E-001                  2.4922804621969576E-004                  2.3028190335823168E-001                  1.7961910304802226E-001                  1.1235810840204172E-004                  3.5477947860754822E-001                  1.3219428825402780E-004                  5.5730644465952184E-001                  5.1413189818560523E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3440332055188076E+000                  1.7304575203366045E+002                  1.3437156872943046E+000                  1.7209158332617631E+002                  2.0235429630622569E+007                  7.8774823243557378E+001                  4.4024234523343267E+006                  1.1611370414326879E+004                  4.6384112585424079E-005                  1.0913258444351219E+004                  8.3243156682024644E+000                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                   energy                                       mu                                       cv                                       cp                                  eps_nuc                                       pp                                      cno                                 tri_alfa                                       h1                                      he3                                      he4                                      c12                                      n14                                      o16                               luminosity                                      tau 
                                       1                  1.3450950845561473E+000                  2.2466369006035647E+000                  3.5095762610508667E+000                 -8.4898226733602531E+000                  2.8360141470176221E+000                  7.3515418218016804E-001                  2.6383490727653036E-001                  1.0109105433016019E-003                  1.8606923198279043E+012                  1.2750621347684103E+000                  2.0070958612572289E+008                  2.8014841100615752E+008                  5.2364431089971186E-028                  5.2364431089971194E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3515418218016804E-001                  3.1662281918025549E-004                  2.6351828445735009E-001                  9.9975418844482539E-005                  1.4227937990353347E-004                  4.5811285884813773E-004                  3.0553514424945388E+003                  6.6666666666666663E-001 
                                       2                  1.3450950845549705E+000                  2.2466369005900688E+000                  3.5095762613299173E+000                 -8.4898226714214733E+000                  2.8360141492495812E+000                  7.3515418218016804E-001                  2.6383490727653036E-001                  1.0109105433016019E-003                  1.8606923201493337E+012                  1.2750621347259177E+000                  2.0070958542653736E+008                  2.8014841022209013E+008                  5.2364431323756046E-028                  5.2364431323756046E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3515418218016804E-001                  3.1662281918025549E-004                  2.6351828445735009E-001                  9.9975418844482539E-005                  1.4227937990353347E-004                  4.5811285884813773E-004                  3.0553514424945361E+003                  6.6666666808936459E-001 
                                       3                  1.3450950845504774E+000                  2.2466369005385585E+000                  3.5095762624275482E+000                 -8.4898226637954046E+000                  2.8360141580288611E+000                  7.3515418218016804E-001                  2.6383490727653036E-001                  1.0109105433016019E-003                  1.8606923214136394E+012                  1.2750621345587749E+000                  2.0070958267632455E+008                  2.8014840713799876E+008                  5.2364432243333451E-028                  5.2364432243333451E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3515418218016804E-001                  3.1662281918025549E-004                  2.6351828445735009E-001                  9.9975418844482539E-005                  1.4227937990353347E-004                  4.5811285884813773E-004                  3.0553514424945265E+003                  6.6666667352041620E-001 
                                       4                  1.3450950845326681E+000                  2.2466369003343742E+000                  3.5095762667744053E+000                 -8.4898226335945015E+000                  2.8360141927967297E+000                  7.3515418218016804E-001                  2.6383490727653036E-001                  1.0109105433016019E-003                  1.8606923264206094E+012                  1.2750621338968529E+000                  2.0070957178488588E+008                  2.8014839492432886E+008                  5.2364435885061881E-028                  5.2364435885061881E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3515418218016804E-001                  3.1662281918025549E-004                  2.6351828445735009E-001                  9.9975418844482539E-005                  1.4227937990353347E-004                  4.5811285884813773E-004                  3.0553514424944906E+003                  6.6666669504816733E-001 
                                       5                  1.3450950844621554E+000                  2.2466368995259467E+000                  3.5095762758092914E+000                 -8.4898225708223425E+000                  2.8360142650612685E+000                  7.3515418218016804E-001                  2.6383490727653036E-001                  1.0109105433016019E-003                  1.8606923368275042E+012                  1.2750621325210556E+000                  2.0070954914717013E+008                  2.8014836953837228E+008                  5.2364443454344768E-028                  5.2364443454344768E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3515418218016804E-001                  3.1662281918025549E-004                  2.6351828445735009E-001                  9.9975418844482539E-005                  1.4227937990353347E-004                  4.5811285884813773E-004                  3.0553514424943496E+003                  6.6666678028318305E-001 
                                       6                  1.3450950843490923E+000                  2.2466368982296747E+000                  3.5095762869383584E+000                 -8.4898224935003519E+000                  2.8360143540758620E+000                  7.3515418218016804E-001                  2.6383490727653036E-001                  1.0109105433016019E-003                  1.8606923496465996E+012                  1.2750621308263654E+000                  2.0070952126230130E+008                  2.8014833826825267E+008                  5.2364452778097878E-028                  5.2364452778097887E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3515418218016804E-001                  3.1662281918025549E-004                  2.6351828445735009E-001                  9.9975418844482539E-005                  1.4227937990353347E-004                  4.5811285884813773E-004                  3.0553514424941213E+003                  6.6666691695318325E-001 
                                       7                  1.3450950842360290E+000                  2.2466368969334054E+000                  3.5095763036319609E+000                 -8.4898223775174007E+000                  2.8360144875977196E+000                  7.3515418218016804E-001                  2.6383490727653036E-001                  1.0109105433016019E-003                  1.8606923688752363E+012                  1.2750621282843297E+000                  2.0070947943499947E+008                  2.8014829136307400E+008                  5.2364466763726494E-028                  5.2364466763726494E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3515418218016804E-001                  3.1662281918025549E-004                  2.6351828445735009E-001                  9.9975418844482539E-005                  1.4227937990353347E-004                  4.5811285884813773E-004                  3.0553514424938940E+003                  6.6666705362321776E-001 
                                       8                  1.3450950840099027E+000                  2.2466368943408628E+000                  3.5095763320981987E+000                 -8.4898221797413136E+000                  2.8360147152814696E+000                  7.3515418218016804E-001                  2.6383490727653036E-001                  1.0109105433016019E-003                  1.8606924016642781E+012                  1.2750621239496027E+000                  2.0070940811032456E+008                  2.8014821137950939E+008                  5.2364490612265359E-028                  5.2364490612265368E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3515418218016804E-001                  3.1662281918025549E-004                  2.6351828445735009E-001                  9.9975418844482539E-005                  1.4227937990353347E-004                  4.5811285884813773E-004                  3.0553514424934397E+003                  6.6666732696338971E-001 
                                       9                  1.3450950836576367E+000                  2.2466368903021343E+000                  3.5095763667725461E+000                 -8.4898219388331579E+000                  2.8360149926197549E+000                  7.3515418218016804E-001                  2.6383490727653036E-001                  1.0109105433016019E-003                  1.8606924416041838E+012                  1.2750621186695299E+000                  2.0070932123070240E+008                  2.8014811395260698E+008                  5.2364519661835821E-028                  5.2364519661835830E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3515418218016804E-001                  3.1662281918025549E-004                  2.6351828445735009E-001                  9.9975418844482539E-005                  1.4227937990353347E-004                  4.5811285884813773E-004                  3.0553514424927312E+003                  6.6666775278027679E-001 
